"About the data: Exported on Jan 05, 2021. Criteria: Text - 'kyambogo' in full data. © 2021 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
4,pub.1133539740,10.1016/j.sciaf.2020.e00648,,,Influence of residual stress on the mechanical behavior of ceramics with various quartz sizes,"Ceramics are semi vitreous materials that are made of kaolin clay, feldspar and quartz. These materials are fired at a temperature greater than 1000°C. Due to low sinterability during firing, quartz remains embedded in a glassy matrix. During cooling, a mismatch in the thermal expansion coefficient of quartz and its surrounding creates cracks as a result of residual stress. This study therefore explores the effect of quartz particle size on the magnitude of residual stress. The results are later compared with the mechanical behavior of the samples. Test samples were pressed at 40 MPa and then fired at a peak temperature of 1300°C at a rate of 60°C/min. Their microstructure was studied using a scanning electron microscope (SEM). The X-ray diffraction method was used to measure residual stress, calculation was based on [101] and [110] quartz planes. In addition, the measurement of flexural strength and hardness was limited to three point loading and Vickers indentation, respectively. The study revealed that the residual stress on quartz decreases with particle size over a range of 45–200 µm. The decrease was attributed to cracks formed in the microstructure of fired samples. The SEM micrograph of bodies with 45 µm showed a crack free glassy phase. As a result, a high value of flexural strength (33±1 MPa) and hardness (5.8±0.2 GPa) was exhibited by these samples. These results further point out that flexural strength is comparable to ISO 13006 standards of ≥ 35±2 MPa. The samples with 90 µm particle size exhibited strength of 25±1 MPa and hardness of 5.4 ± 0.1 GPa. Due to severe cracks triggered by residual stress effect, samples with 200 µm exhibited strength of 15±1 MPa and hardness of 4.6±0.1 GPa. Therefore, to minimize cracks due to stress effect, quartz size milling of less than 90 µm is encouraged.",,Scientific African,,,2021-03,2021,11,,e00648,All OA; Gold,Article,"Ochen, William; D'ujanga, Florence Mutonyi; Oruru, Bosco","Ochen, William (Physics Department, Kyambogo University, P.O Box 1, Kyambogo, Uganda; Physics Department, Makerere University, P.O Box 7062, Kampala, Uganda); D'ujanga, Florence Mutonyi (Physics Department, Makerere University, P.O Box 7062, Kampala, Uganda); Oruru, Bosco (Physics Department, Makerere University, P.O Box 7062, Kampala, Uganda)","Ochen, William (Kyambogo University; Makerere University)","Ochen, William (Kyambogo University; Makerere University); D'ujanga, Florence Mutonyi (Makerere University); Oruru, Bosco (Makerere University)",0,0,,,https://doi.org/10.1016/j.sciaf.2020.e00648,https://app.dimensions.ai/details/publication/pub.1133539740,0912 Materials Engineering; 09 Engineering,
2,pub.1133716660,10.1016/j.jpsychires.2020.12.048,,,The efficacy of meditation-based mind-body interventions for mental disorders: a meta-review of 17 meta-analyses of randomized controlled trials,"There is increasing academic and clinical interest in the potential efficacy of meditation-based mind-body interventions (MBIs) in mental health care systems globally. We conducted a systematic meta-review of the published randomized control trial (RCT) evidence. MEDLINE/PubMed, PsycARTICLES and EMBASE were searched from inception to 06/2020 examining MBIs (mindfulness, qigong, tai chi, yoga) as add-on or monotherapy versus no treatment, minimal treatment and passive and active control conditions in people with a mental disorder. The quality of the methods of the included meta-analyses using A Measurement Tool to Assess Systematic Reviews (AMSTAR) and the methodological quality of the RCTs using AMSTAR-Plus. Sixteen (94%) of 17 meta-analyses had good overall methodological quality. The content validity of the included RCTs was considered good in 9 (53%) meta-analyses. In meta-analyses with good methodological quality (AMSTAR 8≤) and content validity (AMSTAR+ 4≤), large effect sizes (0.80 or higher) were observed for mindfulness as add-on treatment in adults with schizophrenia spectrum and ADHD, and a moderate (0.50≤0.80) effect size for mindfulness as add-on treatment in PTSD. No serious adverse events were reported (n RCTs which assessed events=43, n in the MBI arms=1774), while the attrition rates were comparable with the rates in passive and active control conditions. Our meta-review demonstrates that mindfulness may serve as an efficacious supplement to pharmacotherapy, psychotherapy and can be complementary in healthy lifestyle interventions for people with mental disorders. Meta-analytic evidence of high methodological quality and content validity of included trials is currently lacking for qigong, tai chi and yoga.","The authors would like to thank Melissa Eaton (Western Sydney University, Sydney, NSW, Australia) for her assistance in the data collection.",Journal of Psychiatric Research,,,2021-02,2021,134,,181-191,Closed,Article,"Vancampfort, Davy; Stubbs, Brendon; Van Damme, Tine; Smith, Lee; Hallgren, Mats; Schuch, Felipe; Deenik, Jeroen; Rosenbaum, Simon; Ashdown-Franks, Garcia; Mugisha, James; Firth, Joseph","Vancampfort, Davy (KU Leuven Department of Rehabilitation Sciences, Leuven, Belgium; University Psychiatric Centre KU Leuven, Kortenberg, Belgium); Stubbs, Brendon (South London and Maudsley NHS Foundation Trust, Denmark Hill, London, UK; Institute of Psychiatry, Psychology and Neuroscience (IoPPN), King's College London, London, UK); Van Damme, Tine (KU Leuven Department of Rehabilitation Sciences, Leuven, Belgium); Smith, Lee (Cambridge Centre for Sport and Exercise Sciences, Anglia Ruskin University, Cambridge, UK); Hallgren, Mats (Department of Public Health Sciences, Karolinska Institute, Sweden); Schuch, Felipe (Department of Sports Methods and Techniques, Federal University of Santa Maria, Santa Maria, Brazil); Deenik, Jeroen (School for Mental Health and Neuroscience, Maastricht University, Maastricht, The Netherlands); Rosenbaum, Simon (School of Psychiatry, Faculty of Medicine, University of New South Wales, Sydney, Australia); Ashdown-Franks, Garcia (Department of Exercise Sciences, University of Toronto, Toronto, Ontario, Canada); Mugisha, James (Department of Arts and Social Administration, Kyambogo University, Kampala, Uganda); Firth, Joseph (NICM Health Research Institute, Western Sydney University, Westmead, Australia; Division of Psychology and Mental Health, University of Manchester, Manchester, UK)","Vancampfort, Davy (KU Leuven; KU Leuven)","Vancampfort, Davy (KU Leuven; KU Leuven); Stubbs, Brendon (South London and Maudsley NHS Foundation Trust; King's College London); Van Damme, Tine (KU Leuven); Smith, Lee (Anglia Ruskin University); Hallgren, Mats (Karolinska Institute); Schuch, Felipe (Federal University of Santa Maria); Deenik, Jeroen (Maastricht University); Rosenbaum, Simon (UNSW Sydney); Ashdown-Franks, Garcia (University of Toronto); Mugisha, James (Kyambogo University); Firth, Joseph (Western Sydney University; University of Manchester)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1133716660,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,
2,pub.1133868283,10.5897/jeif2020.1096,,,"Capital structure, credit risk management and financial performance of microfinance institutions in Uganda","The paper examines the relationship between capital structure, credit risk management and financial performance of microfinance institutions (MFIs) in Uganda based on agency theory. The study adopted a cross–sectional research design to examine 64 MFIs in Uganda. Correlation and multiple regression analysis were performed to analyze the data. The results reveal that credit risk management significantly contributes to sound financial performance. Second, capital structure is not significantly related to financial performance. Therefore, credit risk appraisal, credit risk monitoring and credit risk mitigation are essential in achieving sound financial performance of MFIs. However, the structure of debt or equity does not necessarily affect financial performance. Hence, managers should endeavor to instill risk preventive and control mechanisms so as to mitigate credit risks and achieve positive financial performance of MFIs.   Key words: Agency theory, capital structure, credit risk management, financial performance, microfinance institutions.",,Journal of Economics and International Finance,,,2021-01-31,2021,13,1,24-31,All OA; Gold,Article,"Orichom, Geresem; Omeke, Michael","Orichom, Geresem (); Omeke, Michael ()",,"Orichom, Geresem (); Omeke, Michael ()",0,0,,,https://academicjournals.org/journal/JEIF/article-full-text-pdf/C28FCA865659.pdf,https://app.dimensions.ai/details/publication/pub.1133868283,"15 Commerce, Management, Tourism and Services; 1502 Banking, Finance and Investment",
2,pub.1132978463,10.1016/j.apgeog.2020.102366,,,Intersecting RUSLE modelled and farmers perceived soil erosion risk in the conservation domain on mountain Elgon in Uganda,"This study investigated the intersection between empirically derived and farmers perceived soil erosion risk in a medium-sized catchment on the Ugandan side of mountain Elgon. We postulated that farmers' perception of soil erosion risk was high and this influenced their employment of Soil and Water Conservation (SWC) measures on their land. An adapted Revised Universal Soil Loss Equation (RUSLE) was employed to model the soil erosion risk in a Geographical Information System (GIS) environment. Participatory Learning and Action (PLA) tools covering household interviews and Focus Group Discussions (FGDs) were implemented in two representative subcounties of the catchment to elicit information on farmers' perception of soil erosion risk. Household interviews covering 184 respondents were georeferenced using a Geographical Positioning System (GPS). Farmers perceived soil erosion risk on their land was then matched with RUSLE modelled risk using GPS positional data. The modelled soil erosion risk was substantial and a sizeable proportion of the catchment (63%) exhibited soil losses >10 t ha-1 yr-1, which is considered above the tolerable limit for mountain environments. A slight but significant agreement (p  0.05) between farmers' perceived soil erosion risk and implementation of SWC on their land. On this basis, our postulation that perceived high soil erosion risk influences the implementation of SWC does not suffice in the studied catchment. We surmise that successful risk mitigation should be directed more on increasing farmer's awareness of the long-term adverse consequences of soil erosion on their land.","Funding for this study was obtained from (1) SIDA-Embassy of Sweden, Kampala through the BREAD project-331. BREAD project funds covered activities of the biophysical component of the study (2) The Network of Ugandan Researchers and Research Users (NURRU) funded the social survey component. We thank both SIDA and NURRU for financial support. We thank Christoph Schuerz and Mathew Herrnegger for the training in R based simulations. We are also grateful for the support we received from the local leaders in mobilizing the communities for the PRA sessions and the local people for the time they extended to us for the interviews. We also appreciate the enormous efforts of our Resource Persons and Research Assistants who endured a difficult and challenging terrain to conduct household interviews. The assistance received from the Manafwa Production Officer and UBOS was also invaluable in undertaking this study. Ms. Ingrid Martha Kintu assisted with making some maps and we value her efforts. This manuscript was written during the visit to the Center for African Areas Studies (CAAS), Kyoto University. We acknowledge the facilities and support extended by CAAS and the funding from Canon Foundation (Europe) for the scientific visit.",Applied Geography,,,2021-01,2021,126,,102366,Closed,Article,"Bamutaze, Yazidhi; Mukwaya, Paul; Oyama, Shuichi; Nadhomi, Daniel; Nsemire, Peter","Bamutaze, Yazidhi (Department of Geography, Geo-Informatics and Climatic Sciences, Makerere University, PO Box 7062, Kampala, Uganda); Mukwaya, Paul (Department of Geography, Geo-Informatics and Climatic Sciences, Makerere University, PO Box 7062, Kampala, Uganda); Oyama, Shuichi (Center for African Area Studies (CAAS), Kyoto University, South Africa); Nadhomi, Daniel (Department of Geography and Social Studies, Kyambogo University, South Africa); Nsemire, Peter (Department of Environment Management, Makerere University, South Africa)","Bamutaze, Yazidhi (Makerere University)","Bamutaze, Yazidhi (Makerere University); Mukwaya, Paul (Makerere University); Oyama, Shuichi (); Nadhomi, Daniel (); Nsemire, Peter ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1132978463,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,
2,pub.1134153370,10.17220/mojet.2021.9.1.250,,,"Planning Effective Learning for the Visually Impaired in Federal University in Osun State, Nigeria: Technology Perspective","The School system at the university level in developing nations provides the most impactful environment for effective learning and building human capital required for a future-knowledge economy. Unfortunately, less attention is given to the provision of appropriate platforms for the disabled to effectively learn in the university system. Notably, disabled individuals rely on their ability to listen to only speech to gain information quickly to aid learning. In this paper, a learning framework was implemented and tested from educational and technological perspectives. The study focused on an ideal combination of a human-like behavior with a computer application to build a one-way interactive medium between the computer and the user. Using qualitative and quantitative research, we focused on acoustic signal processing without the incorporation of visual input. The respondents used for the study include students, lecturers, specialists in specialized education, and technological experts. The result is a prototype system that translates texts into speech, and a synthesized speech representation of the text entered into the system to aid effective learning. The test results with different users revealed that a majority of 84.70%, 85.30%, 84%, and 86.70% of the users rated the system to have high-quality content, clarity, attractiveness, and responsiveness, respectively.",,Malaysian Online Journal of Educational Technology,,,2020-12-28,2020,9,1,80-96,All OA; Gold,Article,"GAMBO, Omobola; ADELOKUN, Adedapo; GAMBO, Ishaya; AFOLAYAN, Ayobami","GAMBO, Omobola (); ADELOKUN, Adedapo (Department of Educational Management, Obafemi Awolowo University); GAMBO, Ishaya (Department of Computer Science and Engineering, Obafemi Awolowo University); AFOLAYAN, Ayobami (Department of Computer Science and Engineering, Obafemi Awolowo University)",,"GAMBO, Omobola (); ADELOKUN, Adedapo (); GAMBO, Ishaya (); AFOLAYAN, Ayobami ()",0,0,,,http://www.mojet.net/index.php/mojet/article/download/250/201,https://app.dimensions.ai/details/publication/pub.1134153370,08 Information and Computing Sciences; 1303 Specialist Studies In Education; 13 Education; 0806 Information Systems,4 Quality Education
2,pub.1134037380,10.1088/1742-6596/1712/1/012010,,,Awareness of Online Learning of Undergraduates during COVID 19 with special reference to South Eastern University of Sri Lanka,"During this COVID 19 pandemic situation, all sectors including education is also conducting its services via online. Most of the undergraduate in Sri Lanka are very familiar with class room traditional learning process. This paradigm shift has caused advantages and disadvantages in their education activities. A study on awareness of online learning of undergraduate is very much important to measure their present performances, finding pitfalls and draft online learning policies and guidelines for a successful learning environment. This research paper involved both Quantitative and Qualitative methods; where these two methods were used to determine the factors of awareness of students about online learning among the undergraduates of the South Eastern University of Sri Lanka (SEUSL). There were around 400 questionnaires were sent to the students via WhatsApp and received 310 responses that can be used for this study. Students mentioned that they were facing the internet connectivity issues (40.2%) during this COVID-19 lockdown period. Most of the students pointed out that their monthly expenditure (69.4%) and internet bill (48.5%) have increased due to this online learning system. More than 50% of the students were happy with online education during this lockdown. Only 19.6% of them preferred the offline learning. Most of the students already had the experience in Zoom (51.2%) but, they preferred to use WebEx for their online education due to the user friendliness of WebEx. It is recommended to develop any virtual reality applications to conduct practical sessions. Also, universities can conduct online training programs about online education tools. Furthermore, government should consider to provide internet connection with free of charge to the students also internet providers should analyses the coverage issues in the rural areas. Furthermore, researcher can conduct survey about students’ perception and expectation about online learning in future.",,Journal of Physics Conference Series,,,2020-12-25,2020,1712,1,012010,All OA; Gold,Article,"Nafrees, ACM.; Roshan, AMF.; Baanu, AS. Nuzla; Nihma, M.N. Fathima; Shibly, FHA.","Nafrees, ACM. (Instructor, South Eastern University of Sri Lanka); Roshan, AMF. (Assistant Lecturer in, Applied Statistics, South Eastern University of Sri Lanka); Baanu, AS. Nuzla (Assistant Lecturer, South Eastern University of Sri Lanka); Nihma, M.N. Fathima (Assistant Registrar, Rajarata University of Sri Lanka); Shibly, FHA. (Senior Lecturer, South Eastern University of Sri Lanka)",,"Nafrees, ACM. (); Roshan, AMF. (); Baanu, AS. Nuzla (); Nihma, M.N. Fathima (); Shibly, FHA. ()",0,0,,,https://doi.org/10.1088/1742-6596/1712/1/012010,https://app.dimensions.ai/details/publication/pub.1134037380,"0204 Condensed Matter Physics; 02 Physical Sciences; 0299 Other Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",4 Quality Education
3,pub.1133700000,10.1155/2020/8885558,,,Analysis of the Model on the Effect of Seasonal Factors on Malaria Transmission Dynamics,"Malaria is one of the world’s most prevalent epidemics. Current control and eradication efforts are being frustrated by rapid changes in climatic factors such as temperature and rainfall. This study is aimed at assessing the impact of temperature and rainfall abundance on the intensity of malaria transmission. A human host-mosquito vector deterministic model which incorporates temperature and rainfall dependent parameters is formulated. The model is analysed for steady states and their stability. The basic reproduction number is obtained using the next-generation method. It was established that the mosquito population depends on a threshold value   θ   , defined as the number of mosquitoes produced by a female Anopheles mosquito throughout its lifetime, which is governed by temperature and rainfall. The conditions for the stability of the equilibrium points are investigated, and it is shown that there exists a unique endemic equilibrium which is locally and globally asymptotically stable whenever the basic reproduction number exceeds unity. Numerical simulations show that both temperature and rainfall affect the transmission dynamics of malaria; however, temperature has more influence.","Victor Yiga is grateful for the support from the Regional University Forum for Capacity Building in Agriculture (RUFORUM), Kyambogo University, and Mbarara University of Science and Technology to carry out this research.",Journal of Applied Mathematics,,,2020-12-19,2020,2020,,1-19,All OA; Gold,Article,"Yiga, Victor; Nampala, Hasifa; Tumwiine, Julius","Yiga, Victor (Department of Mathematics, Kyambogo University, P.O.Box 1, Kyambogo, Kampala, Uganda, kyu.ac.ug; Department of Mathematics, Mbarara University of Science and Technology, P.O.Box 1410, Mbarara, Uganda, must.ac.ug); Nampala, Hasifa (Department of Mathematics, Kyambogo University, P.O.Box 1, Kyambogo, Kampala, Uganda, kyu.ac.ug); Tumwiine, Julius (Department of Mathematics, Mbarara University of Science and Technology, P.O.Box 1410, Mbarara, Uganda, must.ac.ug)","Yiga, Victor (Kyambogo University; Mbarara University of Science and Technology)","Yiga, Victor (Kyambogo University; Mbarara University of Science and Technology); Nampala, Hasifa (Kyambogo University); Tumwiine, Julius (Mbarara University of Science and Technology)",0,0,,,https://doi.org/10.1155/2020/8885558,https://app.dimensions.ai/details/publication/pub.1133700000,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,
27,pub.1133569715,10.1111/hir.12335,33331097,,The strong bridge between African librarians and international partnerships,"The paper highlights the experience of working with Shane Godbolt when she was a practising Medical librarian, her mentorship to younger librarians/information professionals, her personal and professional support to African librarians and the role she played as the Director of Partnerships in Health Information (Phi). These activities led to successful collaboration between Phi and African librarians. Indeed Shane widened the networks and opened up opportunities for many.",,Health Information & Libraries Journal,,,2020-12-17,2020,,,,Closed,Article,"Musoke, Maria G.N.","Musoke, Maria G.N. (Deputy Vice Chancellor ‐ Academic Affairs, Kyambogo University, Kampala, Uganda)",,"Musoke, Maria G.N. (Kyambogo University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1133569715,1117 Public Health and Health Services; 11 Medical and Health Sciences,
18,pub.1133592910,10.1186/s12905-020-01148-6,33334342,PMC7745472,Contraceptive nonuse among women in Uganda: a comparative assessment of predictors across regions,"BackgroundContraceptive nonuse has diverse effects on women, such as unintended pregnancies and births that result in high fertility and poor maternal health outcomes. In Uganda, knowledge on contraceptive use is high, amidst undesirably high contraceptive nonuse and scarce literature on predictors of contraceptive nonuse across regions. This study assessed factors associated with contraceptive nonuse among women of reproductive age across regions in Uganda.MethodThis study used data from a cross-sectional 2016 Uganda demographic and heath survey that had 18,506 women of reproductive age. The relationship between contraceptive nonuse and socio-economic and demographic factors across regions were assessed using a binary multivariable logistic regression model.ResultsIn Uganda, contraceptive nonuse is estimated at 40%. Northern region (55%) had the highest prevalence of contraceptive nonuse compared to Central region (35%) with the lowest. Across regions, wealth index, number of living children, educational level, and children born in the last 5 years prior to the demographic survey differently predicted contraceptive nonuse. Conversely, age, religion, age at first marriage, sexual autonomy, age at first birth, desire for children, listening to radio, and employment status were only predictors of contraceptive nonuse in particular regions amidst variations. Residence, perception of distance to health facility, watching television, and reading newspapers or magazines did not predict contraceptive nonuse.ConclusionsThe study findings propose the need to appreciate regional-variations in effect of contraceptive nonuse predictors and therefore, efforts should be directed towards addressing regional-variations so as to attain high contraceptive usage across regions, and thus reduce on unwanted pregnancies and births.",The author appreciates Measure DHS for offering him the permission to use 2016 UDHS data.,BMC Women's Health,,,2020-12-17,2020,20,1,275,All OA; Gold,Article,"Otim, Jude","Otim, Jude (Department of Sociology and Social Administration, Kyambogo University, P.O. Box 1, Kyambogo, Kampala, Uganda)","Otim, Jude (Kyambogo University)","Otim, Jude (Kyambogo University)",0,0,,,https://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-020-01148-6,https://app.dimensions.ai/details/publication/pub.1133592910,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,3 Good Health and Well Being
56,pub.1133567969,10.1177/0956462420942992,33323069,,Moderate to severe generalized anxiety disorder symptoms are associated with physical inactivity in people with HIV/AIDS: a study from Uganda.,"The aim of this cross-sectional study was to explore the prevalence of moderate to severe generalized anxiety disorder (GAD) symptoms and its association with physical activity in people living with HIV (PLHIV) in Uganda. Two hundred and ninety-five PLHIV (median [interquartile range] age = 37.0 years [16.0]; 200 women) completed the GAD-7, Physical Activity Vital Sign, Patient Health Questionnaire-9, and the Alcohol Use Disorders Identification Test. An adjusted odds ratio for physical inactivity in people with moderate to severe GAD symptoms was calculated using binary logistic regression analyses. The prevalence of moderate to severe GAD symptoms was 9.1%. Those with moderate to severe GAD symptoms had a 16.8 times higher odds (95% CI = 5.0-55.9) for not complying with the physical activity recommendations. The current study shows that moderate to severe GAD symptoms are strongly associated with physical inactivity in PLHIV living in a country such as Uganda.",,International Journal of STD & AIDS,,,2020-12-15,2020,,,956462420942992,Closed,Article,"Mugisha, James; Byansi, Peter K; Kinyanda, Eugene; Bbosa, Richard S; Damme, Tine Van; Vancampfort, Davy","Mugisha, James (Faculty of Arts and Social Sciences, Kyambogo University, Kampala, Uganda.; Butabika National Referral and Mental Health Hospital, Kampala, Uganda.); Byansi, Peter K (Africa Social Development & Health Initiatives, Kampala, Uganda.; Faculty of Health Sciences, Uganda Martyrs University, Kampala, Uganda.); Kinyanda, Eugene (Department of Psychiatry, Makerere University, Kampala, Uganda.; Mental Health Project, MRC/LSHTM/UVRI and Senior Wellcome Trust Fellow, Uganda.); Bbosa, Richard S (Buikwe District Health Office, Buikwe, Uganda.); Damme, Tine Van (KU Leuven Department of Rehabilitation Sciences, Leuven, Belgium.); Vancampfort, Davy (KU Leuven Department of Rehabilitation Sciences, Leuven, Belgium.; University Psychiatric Centre KU Leuven, Kortenberg, Belgium.)",,"Mugisha, James (Kyambogo University); Byansi, Peter K (Uganda Martyrs University); Kinyanda, Eugene (Makerere University); Bbosa, Richard S (); Damme, Tine Van (KU Leuven); Vancampfort, Davy (KU Leuven; KU Leuven)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1133567969,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,
